dataset,prop_budget,beta0,rho,gamma,tau,seed,mean_width,coverage
mmlu-pro,0.025,1.0,0.0,0.0,0.75,43,0.07245664298534393,0.9362855851784908
mmlu-pro,0.025,1.0,0.0,0.0,0.75,44,0.07224059104919434,0.9448712155445097
mmlu-pro,0.025,1.0,0.0,0.0,0.75,45,0.0722939744591713,0.946678716674198
mmlu-pro,0.025,1.0,0.0,0.0,0.75,46,0.07248926907777786,0.947582467239042
mmlu-pro,0.025,1.0,0.0,0.0,0.75,47,0.07212997227907181,0.9399005874378672
mmlu-pro,0.025,1.0,0.0,0.0,0.75,48,0.07242849469184875,0.9448712155445097
mmlu-pro,0.025,1.0,0.0,0.0,0.75,49,0.07258709520101547,0.9516493447808405
mmlu-pro,0.025,1.0,0.0,0.0,0.75,50,0.0723671093583107,0.9575237234523272
mmlu-pro,0.025,1.0,0.0,0.0,0.75,51,0.07239435613155365,0.9358337098960687
mmlu-pro,0.025,1.0,0.0,0.0,0.75,52,0.0723671019077301,0.9304112065070042
mmlu-pro,0.025,1.0,0.0,0.0,0.75,53,0.0724112018942833,0.9507455942159965
mmlu-pro,0.025,1.0,0.0,0.0,0.75,54,0.07254699617624283,0.9516493447808405
mmlu-pro,0.025,1.0,0.0,0.0,0.75,55,0.07269004732370377,0.9484862178038862
mmlu-pro,0.025,1.0,0.0,0.0,0.75,56,0.07268977910280228,0.9493899683687302
mmlu-pro,0.025,1.0,0.0,0.0,0.75,57,0.072352834045887,0.9430637144148215
mmlu-pro,0.025,1.0,0.0,0.0,0.75,58,0.072493776679039,0.946678716674198
mmlu-pro,0.025,1.0,0.0,0.0,0.75,59,0.0723429024219513,0.9480343425214641
mmlu-pro,0.025,1.0,0.0,0.0,0.75,60,0.07220760732889175,0.9480343425214641
mmlu-pro,0.025,1.0,0.0,0.0,0.75,61,0.07218384742736816,0.9408043380027112
mmlu-pro,0.025,1.0,0.0,0.0,0.75,62,0.07245312631130219,0.9362855851784908
mmlu-pro,0.025,1.0,0.0,0.0,0.75,63,0.07251626998186111,0.94713059195662
mmlu-pro,0.025,1.0,0.0,0.0,0.75,64,0.07248523086309433,0.9457749661093539
mmlu-pro,0.025,1.0,0.0,0.0,0.75,65,0.07227199524641037,0.9371893357433349
mmlu-pro,0.025,1.0,0.0,0.0,0.75,66,0.07241001725196838,0.9439674649796657
mmlu-pro,0.025,1.0,0.0,0.0,0.75,67,0.07237853854894638,0.9426118391323995
mmlu-pro,0.025,1.0,0.0,0.0,0.75,68,0.07245749980211258,0.9462268413917759
mmlu-pro,0.025,1.0,0.0,0.0,0.75,69,0.07221204787492752,0.9584274740171713
mmlu-pro,0.025,1.0,0.0,0.0,0.75,70,0.07231665402650833,0.938996836873023
mmlu-pro,0.025,1.0,0.0,0.0,0.75,71,0.07250118255615234,0.9453230908269318
mmlu-pro,0.025,1.0,0.0,0.0,0.75,72,0.0725264772772789,0.9457749661093539
mmlu-pro,0.025,1.0,0.0,0.0,0.75,73,0.07253766059875488,0.9430637144148215
mmlu-pro,0.025,1.0,0.0,0.0,0.75,74,0.07227274030447006,0.9484862178038862
mmlu-pro,0.025,1.0,0.0,0.0,0.75,75,0.07233750820159912,0.9457749661093539
mmlu-pro,0.025,1.0,0.0,0.0,0.75,76,0.07257936149835587,0.9498418436511523
mmlu-pro,0.025,1.0,0.0,0.0,0.75,77,0.0723591074347496,0.946678716674198
mmlu-pro,0.025,1.0,0.0,0.0,0.75,78,0.07239514589309692,0.9548124717577949
mmlu-pro,0.025,1.0,0.0,0.0,0.75,79,0.0725489929318428,0.9525530953456847
mmlu-pro,0.025,1.0,0.0,0.0,0.75,80,0.07230336219072342,0.9435155896972436
mmlu-pro,0.025,1.0,0.0,0.0,0.75,81,0.07231777161359787,0.9480343425214641
mmlu-pro,0.025,1.0,0.0,0.0,0.75,82,0.07218454033136368,0.9480343425214641
mmlu-pro,0.025,1.0,0.0,0.0,0.75,83,0.07259111106395721,0.9507455942159965
mmlu-pro,0.025,1.0,0.0,0.0,0.75,84,0.0722554549574852,0.9457749661093539
mmlu-pro,0.025,1.0,0.0,0.0,0.75,85,0.07248047739267349,0.9408043380027112
mmlu-pro,0.025,1.0,0.0,0.0,0.75,86,0.07245949655771255,0.9498418436511523
mmlu-pro,0.025,1.0,0.0,0.0,0.75,87,0.0725635290145874,0.9421599638499775
mmlu-pro,0.025,1.0,0.0,0.0,0.75,88,0.07228399813175201,0.9408043380027112
mmlu-pro,0.025,1.0,0.0,0.0,0.75,89,0.07226959615945816,0.9435155896972436
mmlu-pro,0.025,1.0,0.0,0.0,0.75,90,0.0725531354546547,0.9493899683687302
mmlu-pro,0.025,1.0,0.0,0.0,0.75,91,0.07227621227502823,0.9502937189335744
mmlu-pro,0.025,1.0,0.0,0.0,0.75,92,0.07247266918420792,0.94713059195662
mmlu-pro,0.025,1.0,0.0,0.0,0.75,93,0.07252375036478043,0.9525530953456847
mmlu-pro,0.025,1.0,0.0,0.0,0.75,94,0.07258297502994537,0.9521012200632626
mmlu-pro,0.025,1.0,0.0,0.0,0.75,95,0.07262544333934784,0.9408043380027112
mmlu-pro,0.025,1.0,0.0,0.0,0.75,96,0.07237367331981659,0.9412562132851333
mmlu-pro,0.025,1.0,0.0,0.0,0.75,97,0.07244841009378433,0.9507455942159965
mmlu-pro,0.025,1.0,0.0,0.0,0.75,98,0.07230531424283981,0.9408043380027112
mmlu-pro,0.025,1.0,0.0,0.0,0.75,99,0.07229603081941605,0.9462268413917759
mmlu-pro,0.05,1.0,0.05,0.0,0.75,0,0.047129906713962555,0.946678716674198
mmlu-pro,0.05,1.0,0.05,0.0,0.75,1,0.04707923159003258,0.9457749661093539
mmlu-pro,0.05,1.0,0.05,0.0,0.75,2,0.04695289954543114,0.9462268413917759
mmlu-pro,0.05,1.0,0.05,0.0,0.75,3,0.04699300602078438,0.9507455942159965
mmlu-pro,0.05,1.0,0.05,0.0,0.75,4,0.047016724944114685,0.9448712155445097
mmlu-pro,0.05,1.0,0.05,0.0,0.75,5,0.04698660224676132,0.9534568459105287
mmlu-pro,0.05,1.0,0.05,0.0,0.75,6,0.04710330069065094,0.94713059195662
mmlu-pro,0.05,1.0,0.05,0.0,0.75,7,0.04701938107609749,0.9426118391323995
mmlu-pro,0.05,1.0,0.05,0.0,0.75,8,0.04710505157709122,0.9462268413917759
mmlu-pro,0.05,1.0,0.05,0.0,0.75,9,0.04698135703802109,0.9403524627202893
mmlu-pro,0.05,1.0,0.05,0.0,0.75,10,0.04692062735557556,0.956168097605061
mmlu-pro,0.05,1.0,0.05,0.0,0.75,11,0.04707713797688484,0.9430637144148215
mmlu-pro,0.05,1.0,0.05,0.0,0.75,12,0.046924665570259094,0.9448712155445097
mmlu-pro,0.05,1.0,0.05,0.0,0.75,13,0.047054678201675415,0.9421599638499775
mmlu-pro,0.05,1.0,0.05,0.0,0.75,14,0.047027587890625,0.9489380930863082
mmlu-pro,0.05,1.0,0.05,0.0,0.75,15,0.04709417372941971,0.9444193402620877
mmlu-pro,0.05,1.0,0.05,0.0,0.75,16,0.04697291553020477,0.9399005874378672
mmlu-pro,0.05,1.0,0.05,0.0,0.75,17,0.04704192280769348,0.9408043380027112
mmlu-pro,0.05,1.0,0.05,0.0,0.75,18,0.046951208263635635,0.9453230908269318
mmlu-pro,0.05,1.0,0.05,0.0,0.75,19,0.04703206941485405,0.9426118391323995
mmlu-pro,0.05,1.0,0.05,0.0,0.75,20,0.047024331986904144,0.947582467239042
mmlu-pro,0.05,1.0,0.05,0.0,0.75,21,0.04703912511467934,0.9511974694984184
mmlu-pro,0.05,1.0,0.05,0.0,0.75,22,0.047095224261283875,0.9597830998644374
mmlu-pro,0.05,1.0,0.05,0.0,0.75,23,0.047086555510759354,0.9489380930863082
mmlu-pro,0.05,1.0,0.05,0.0,0.75,24,0.04711519554257393,0.9525530953456847
mmlu-pro,0.05,1.0,0.05,0.0,0.75,25,0.04700804501771927,0.9539087211929508
mmlu-pro,0.05,1.0,0.05,0.0,0.75,26,0.047066137194633484,0.946678716674198
mmlu-pro,0.05,1.0,0.05,0.0,0.75,27,0.04710693657398224,0.9525530953456847
mmlu-pro,0.05,1.0,0.05,0.0,0.75,28,0.047092635184526443,0.9498418436511523
mmlu-pro,0.05,1.0,0.05,0.0,0.75,29,0.047253530472517014,0.9597830998644374
mmlu-pro,0.05,1.0,0.05,0.0,0.75,30,0.04709095135331154,0.9502937189335744
mmlu-pro,0.05,1.0,0.05,0.0,0.75,31,0.04704651981592178,0.9421599638499775
mmlu-pro,0.05,1.0,0.05,0.0,0.75,32,0.047150615602731705,0.9421599638499775
mmlu-pro,0.05,1.0,0.05,0.0,0.75,33,0.0470733679831028,0.946678716674198
mmlu-pro,0.05,1.0,0.05,0.0,0.75,34,0.047127287834882736,0.94713059195662
mmlu-pro,0.05,1.0,0.05,0.0,0.75,35,0.0471748523414135,0.9493899683687302
mmlu-pro,0.05,1.0,0.05,0.0,0.75,36,0.0470019094645977,0.9462268413917759
mmlu-pro,0.05,1.0,0.05,0.0,0.75,37,0.04710078611969948,0.9511974694984184
mmlu-pro,0.05,1.0,0.05,0.0,0.75,38,0.04707304388284683,0.9417080885675554
mmlu-pro,0.05,1.0,0.05,0.0,0.75,39,0.0471072681248188,0.9507455942159965
mmlu-pro,0.05,1.0,0.05,0.0,0.75,40,0.04714042693376541,0.9597830998644374
mmlu-pro,0.05,1.0,0.05,0.0,0.75,41,0.04701892286539078,0.9521012200632626
mmlu-pro,0.05,1.0,0.05,0.0,0.75,42,0.047104764729738235,0.9507455942159965
mmlu-pro,0.05,1.0,0.05,0.0,0.75,43,0.047109540551900864,0.9412562132851333
mmlu-pro,0.05,1.0,0.05,0.0,0.75,44,0.04703269526362419,0.9539087211929508
mmlu-pro,0.05,1.0,0.05,0.0,0.75,45,0.046995215117931366,0.9462268413917759
mmlu-pro,0.05,1.0,0.05,0.0,0.75,46,0.04707793518900871,0.955716222322639
mmlu-pro,0.05,1.0,0.05,0.0,0.75,47,0.046961572021245956,0.9502937189335744
mmlu-pro,0.05,1.0,0.05,0.0,0.75,48,0.04706515744328499,0.938093086308179
mmlu-pro,0.05,1.0,0.05,0.0,0.75,49,0.04706846550107002,0.9498418436511523
mmlu-pro,0.05,1.0,0.05,0.0,0.75,50,0.047144532203674316,0.9629462268413919
mmlu-pro,0.05,1.0,0.05,0.0,0.75,51,0.04703918471932411,0.9331224582015364
mmlu-pro,0.05,1.0,0.05,0.0,0.75,52,0.04699002206325531,0.9426118391323995
mmlu-pro,0.05,1.0,0.05,0.0,0.75,53,0.04706278443336487,0.9516493447808405
mmlu-pro,0.05,1.0,0.05,0.0,0.75,54,0.047115981578826904,0.9502937189335744
mmlu-pro,0.05,1.0,0.05,0.0,0.75,55,0.04715214669704437,0.9457749661093539
mmlu-pro,0.05,1.0,0.05,0.0,0.75,56,0.047105222940444946,0.9489380930863082
mmlu-pro,0.05,1.0,0.05,0.0,0.75,57,0.04700150713324547,0.9498418436511523
mmlu-pro,0.05,1.0,0.05,0.0,0.75,58,0.04711811989545822,0.9453230908269318
mmlu-pro,0.05,1.0,0.05,0.0,0.75,59,0.0470067523419857,0.9543605964753729
mmlu-pro,0.05,1.0,0.05,0.0,0.75,60,0.047018855810165405,0.9502937189335744
mmlu-pro,0.05,1.0,0.05,0.0,0.75,61,0.046966854482889175,0.9516493447808405
mmlu-pro,0.05,1.0,0.05,0.0,0.75,62,0.04705686867237091,0.9534568459105287
mmlu-pro,0.05,1.0,0.05,0.0,0.75,63,0.04721560701727867,0.9511974694984184
mmlu-pro,0.05,1.0,0.05,0.0,0.75,64,0.047113314270973206,0.9521012200632626
mmlu-pro,0.05,1.0,0.05,0.0,0.75,65,0.047044772654771805,0.9502937189335744
mmlu-pro,0.05,1.0,0.05,0.0,0.75,66,0.04702616482973099,0.9412562132851333
mmlu-pro,0.05,1.0,0.05,0.0,0.75,67,0.047070182859897614,0.9462268413917759
mmlu-pro,0.05,1.0,0.05,0.0,0.75,68,0.047195687890052795,0.9534568459105287
mmlu-pro,0.05,1.0,0.05,0.0,0.75,69,0.046990394592285156,0.9507455942159965
mmlu-pro,0.05,1.0,0.05,0.0,0.75,70,0.04706377163529396,0.9444193402620877
mmlu-pro,0.05,1.0,0.05,0.0,0.75,71,0.04706323891878128,0.9507455942159965
mmlu-pro,0.05,1.0,0.05,0.0,0.75,72,0.04703215882182121,0.9480343425214641
mmlu-pro,0.05,1.0,0.05,0.0,0.75,73,0.04715588688850403,0.9412562132851333
mmlu-pro,0.05,1.0,0.05,0.0,0.75,74,0.04705248400568962,0.9507455942159965
mmlu-pro,0.05,1.0,0.05,0.0,0.75,75,0.047138795256614685,0.9444193402620877
mmlu-pro,0.05,1.0,0.05,0.0,0.75,76,0.04720607399940491,0.9421599638499775
mmlu-pro,0.05,1.0,0.05,0.0,0.75,77,0.04702597111463547,0.9480343425214641
mmlu-pro,0.05,1.0,0.05,0.0,0.75,78,0.047102976590394974,0.9453230908269318
mmlu-pro,0.05,1.0,0.05,0.0,0.75,79,0.04707910120487213,0.94713059195662
mmlu-pro,0.05,1.0,0.05,0.0,0.75,80,0.04704705625772476,0.9489380930863082
mmlu-pro,0.05,1.0,0.05,0.0,0.75,81,0.04696423187851906,0.9511974694984184
mmlu-pro,0.05,1.0,0.05,0.0,0.75,82,0.046984899789094925,0.9566199728874831
mmlu-pro,0.05,1.0,0.05,0.0,0.75,83,0.04710156470537186,0.9575237234523272
mmlu-pro,0.05,1.0,0.05,0.0,0.75,84,0.04694949835538864,0.947582467239042
mmlu-pro,0.05,1.0,0.05,0.0,0.75,85,0.047126173973083496,0.9507455942159965
mmlu-pro,0.05,1.0,0.05,0.0,0.75,86,0.04709479957818985,0.9435155896972436
mmlu-pro,0.05,1.0,0.05,0.0,0.75,87,0.047158993780612946,0.9493899683687302
mmlu-pro,0.05,1.0,0.05,0.0,0.75,88,0.04699850082397461,0.9489380930863082
mmlu-pro,0.05,1.0,0.05,0.0,0.75,89,0.04701452702283859,0.9412562132851333
mmlu-pro,0.05,1.0,0.05,0.0,0.75,90,0.047037214040756226,0.956168097605061
mmlu-pro,0.05,1.0,0.05,0.0,0.75,91,0.04702266305685043,0.9480343425214641
mmlu-pro,0.05,1.0,0.05,0.0,0.75,92,0.047118257731199265,0.9525530953456847
mmlu-pro,0.05,1.0,0.05,0.0,0.75,93,0.047127142548561096,0.956168097605061
mmlu-pro,0.05,1.0,0.05,0.0,0.75,94,0.04714064300060272,0.9566199728874831
mmlu-pro,0.05,1.0,0.05,0.0,0.75,95,0.04710201919078827,0.9539087211929508
mmlu-pro,0.05,1.0,0.05,0.0,0.75,96,0.047047339379787445,0.9403524627202893
mmlu-pro,0.05,1.0,0.05,0.0,0.75,97,0.04703817889094353,0.947582467239042
mmlu-pro,0.05,1.0,0.05,0.0,0.75,98,0.0470438115298748,0.9385449615906011
mmlu-pro,0.05,1.0,0.05,0.0,0.75,99,0.0470297709107399,0.9453230908269318
mmlu-pro,0.075,1.0,0.0,0.0,0.75,0,0.03667862340807915,0.946678716674198
mmlu-pro,0.075,1.0,0.0,0.0,0.75,1,0.03669819235801697,0.9489380930863082
mmlu-pro,0.075,1.0,0.0,0.0,0.75,2,0.036598436534404755,0.9530049706281066
mmlu-pro,0.075,1.0,0.0,0.0,0.75,3,0.03662828728556633,0.9453230908269318
mmlu-pro,0.075,1.0,0.0,0.0,0.75,4,0.03668343648314476,0.947582467239042
mmlu-pro,0.075,1.0,0.0,0.0,0.75,5,0.036653656512498856,0.9534568459105287
mmlu-pro,0.075,1.0,0.0,0.0,0.75,6,0.03669663891196251,0.9399005874378672
mmlu-pro,0.075,1.0,0.0,0.0,0.75,7,0.03671150654554367,0.9489380930863082
mmlu-pro,0.075,1.0,0.0,0.0,0.75,8,0.03667614981532097,0.9435155896972436
mmlu-pro,0.075,1.0,0.0,0.0,0.75,9,0.03660884499549866,0.9511974694984184
mmlu-pro,0.075,1.0,0.0,0.0,0.75,10,0.03661336377263069,0.9543605964753729
mmlu-pro,0.075,1.0,0.0,0.0,0.75,11,0.03669316694140434,0.9408043380027112
mmlu-pro,0.075,1.0,0.0,0.0,0.75,12,0.03660058230161667,0.9498418436511523
mmlu-pro,0.075,1.0,0.0,0.0,0.75,13,0.036694224923849106,0.9399005874378672
mmlu-pro,0.075,1.0,0.0,0.0,0.75,14,0.03666309639811516,0.9480343425214641
mmlu-pro,0.075,1.0,0.0,0.0,0.75,15,0.036697711795568466,0.946678716674198
mmlu-pro,0.075,1.0,0.0,0.0,0.75,16,0.03664003312587738,0.947582467239042
mmlu-pro,0.075,1.0,0.0,0.0,0.75,17,0.03671090677380562,0.9408043380027112
mmlu-pro,0.075,1.0,0.0,0.0,0.75,18,0.03661332651972771,0.9498418436511523
mmlu-pro,0.075,1.0,0.0,0.0,0.75,19,0.036680132150650024,0.9480343425214641
mmlu-pro,0.075,1.0,0.0,0.0,0.75,20,0.03663113713264465,0.9502937189335744
mmlu-pro,0.075,1.0,0.0,0.0,0.75,21,0.036692164838314056,0.9507455942159965
mmlu-pro,0.075,1.0,0.0,0.0,0.75,22,0.03673708066344261,0.9539087211929508
mmlu-pro,0.075,1.0,0.0,0.0,0.75,23,0.036680057644844055,0.9507455942159965
mmlu-pro,0.075,1.0,0.0,0.0,0.75,24,0.03673605993390083,0.9484862178038862
mmlu-pro,0.075,1.0,0.0,0.0,0.75,25,0.03668629750609398,0.9493899683687302
mmlu-pro,0.075,1.0,0.0,0.0,0.75,26,0.03667043149471283,0.9435155896972436
mmlu-pro,0.075,1.0,0.0,0.0,0.75,27,0.036687787622213364,0.9453230908269318
mmlu-pro,0.075,1.0,0.0,0.0,0.75,28,0.03666800260543823,0.9489380930863082
mmlu-pro,0.075,1.0,0.0,0.0,0.75,29,0.03677603602409363,0.9525530953456847
mmlu-pro,0.075,1.0,0.0,0.0,0.75,30,0.03671083226799965,0.9521012200632626
mmlu-pro,0.075,1.0,0.0,0.0,0.75,31,0.03671904280781746,0.9421599638499775
mmlu-pro,0.075,1.0,0.0,0.0,0.75,32,0.03672818839550018,0.9358337098960687
mmlu-pro,0.075,1.0,0.0,0.0,0.75,33,0.03671325743198395,0.9462268413917759
mmlu-pro,0.075,1.0,0.0,0.0,0.75,34,0.03670480474829674,0.9548124717577949
mmlu-pro,0.075,1.0,0.0,0.0,0.75,35,0.036728668957948685,0.9439674649796657
mmlu-pro,0.075,1.0,0.0,0.0,0.75,36,0.036671232432127,0.9399005874378672
mmlu-pro,0.075,1.0,0.0,0.0,0.75,37,0.036683339625597,0.94713059195662
mmlu-pro,0.075,1.0,0.0,0.0,0.75,38,0.03670001029968262,0.9417080885675554
mmlu-pro,0.075,1.0,0.0,0.0,0.75,39,0.03676220402121544,0.9484862178038862
mmlu-pro,0.075,1.0,0.0,0.0,0.75,40,0.03673005849123001,0.9439674649796657
mmlu-pro,0.075,1.0,0.0,0.0,0.75,41,0.036653783172369,0.9480343425214641
mmlu-pro,0.075,1.0,0.0,0.0,0.75,42,0.03674366697669029,0.947582467239042
mmlu-pro,0.075,1.0,0.0,0.0,0.75,43,0.03670516982674599,0.9453230908269318
mmlu-pro,0.075,1.0,0.0,0.0,0.75,44,0.03668038547039032,0.9588793492995934
mmlu-pro,0.075,1.0,0.0,0.0,0.75,45,0.03666852414608002,0.9435155896972436
mmlu-pro,0.075,1.0,0.0,0.0,0.75,46,0.03667331114411354,0.9530049706281066
mmlu-pro,0.075,1.0,0.0,0.0,0.75,47,0.03661578521132469,0.9502937189335744
mmlu-pro,0.075,1.0,0.0,0.0,0.75,48,0.0366908498108387,0.94713059195662
mmlu-pro,0.075,1.0,0.0,0.0,0.75,49,0.03673924505710602,0.946678716674198
mmlu-pro,0.075,1.0,0.0,0.0,0.75,50,0.03668760135769844,0.956168097605061
mmlu-pro,0.075,1.0,0.0,0.0,0.75,51,0.03668753802776337,0.947582467239042
mmlu-pro,0.075,1.0,0.0,0.0,0.75,52,0.036673955619335175,0.9430637144148215
mmlu-pro,0.075,1.0,0.0,0.0,0.75,53,0.036672741174697876,0.9439674649796657
mmlu-pro,0.075,1.0,0.0,0.0,0.75,54,0.03675108030438423,0.9489380930863082
mmlu-pro,0.075,1.0,0.0,0.0,0.75,55,0.03675662726163864,0.9435155896972436
mmlu-pro,0.075,1.0,0.0,0.0,0.75,56,0.036735743284225464,0.9543605964753729
mmlu-pro,0.075,1.0,0.0,0.0,0.75,57,0.0366700142621994,0.9570718481699051
mmlu-pro,0.075,1.0,0.0,0.0,0.75,58,0.03674498200416565,0.9417080885675554
mmlu-pro,0.075,1.0,0.0,0.0,0.75,59,0.03666391223669052,0.9530049706281066
mmlu-pro,0.075,1.0,0.0,0.0,0.75,60,0.03664899617433548,0.9525530953456847
mmlu-pro,0.075,1.0,0.0,0.0,0.75,61,0.03659484162926674,0.9521012200632626
mmlu-pro,0.075,1.0,0.0,0.0,0.75,62,0.03670162335038185,0.9493899683687302
mmlu-pro,0.075,1.0,0.0,0.0,0.75,63,0.03674020618200302,0.9498418436511523
mmlu-pro,0.075,1.0,0.0,0.0,0.75,64,0.03668022155761719,0.9453230908269318
mmlu-pro,0.075,1.0,0.0,0.0,0.75,65,0.0366780124604702,0.9453230908269318
mmlu-pro,0.075,1.0,0.0,0.0,0.75,66,0.03669140115380287,0.9421599638499775
mmlu-pro,0.075,1.0,0.0,0.0,0.75,67,0.0366954542696476,0.9525530953456847
mmlu-pro,0.075,1.0,0.0,0.0,0.75,68,0.03675660863518715,0.9484862178038862
mmlu-pro,0.075,1.0,0.0,0.0,0.75,69,0.03665010631084442,0.947582467239042
mmlu-pro,0.075,1.0,0.0,0.0,0.75,70,0.036665599793195724,0.9430637144148215
mmlu-pro,0.075,1.0,0.0,0.0,0.75,71,0.036719679832458496,0.9457749661093539
mmlu-pro,0.075,1.0,0.0,0.0,0.75,72,0.03668805584311485,0.9403524627202893
mmlu-pro,0.075,1.0,0.0,0.0,0.75,73,0.03676533326506615,0.9480343425214641
mmlu-pro,0.075,1.0,0.0,0.0,0.75,74,0.036676596850156784,0.9480343425214641
mmlu-pro,0.075,1.0,0.0,0.0,0.75,75,0.03669571131467819,0.9444193402620877
mmlu-pro,0.075,1.0,0.0,0.0,0.75,76,0.03676113113760948,0.9484862178038862
mmlu-pro,0.075,1.0,0.0,0.0,0.75,77,0.03667168319225311,0.947582467239042
mmlu-pro,0.075,1.0,0.0,0.0,0.75,78,0.03670355677604675,0.9543605964753729
mmlu-pro,0.075,1.0,0.0,0.0,0.75,79,0.03671560063958168,0.9552643470402169
mmlu-pro,0.075,1.0,0.0,0.0,0.75,80,0.03666900098323822,0.9548124717577949
mmlu-pro,0.075,1.0,0.0,0.0,0.75,81,0.03662455826997757,0.9484862178038862
mmlu-pro,0.075,1.0,0.0,0.0,0.75,82,0.03660840168595314,0.9444193402620877
mmlu-pro,0.075,1.0,0.0,0.0,0.75,83,0.03670749440789223,0.9539087211929508
mmlu-pro,0.075,1.0,0.0,0.0,0.75,84,0.03666067495942116,0.9385449615906011
mmlu-pro,0.075,1.0,0.0,0.0,0.75,85,0.03673215210437775,0.9530049706281066
mmlu-pro,0.075,1.0,0.0,0.0,0.75,86,0.03673332929611206,0.9502937189335744
mmlu-pro,0.075,1.0,0.0,0.0,0.75,87,0.03673606738448143,0.9498418436511523
mmlu-pro,0.075,1.0,0.0,0.0,0.75,88,0.03664926439523697,0.9462268413917759
mmlu-pro,0.075,1.0,0.0,0.0,0.75,89,0.03666350245475769,0.9507455942159965
mmlu-pro,0.075,1.0,0.0,0.0,0.75,90,0.03670782968401909,0.9462268413917759
