dataset,n_full_obs,mcar_obs_prob,prop_budget,tau,seed,N_B,N_labels,mean_width,coverage
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,34,2632,2472.09716796875,0.02497190609574318,0.9407775768535261
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,35,2632,2472.3681640625,0.02518671192228794,0.9511754068716094
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,36,2632,2472.649169921875,0.025046706199645996,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,37,2632,2471.359130859375,0.024792365729808807,0.9525316455696202
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,38,2632,2471.57958984375,0.02504109777510166,0.9421338155515371
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,39,2632,2471.994140625,0.024911507964134216,0.9394213381555153
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,40,2632,2471.89111328125,0.024958381429314613,0.9547920433996383
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,41,2632,2472.076416015625,0.025000697001814842,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,42,2632,2473.091796875,0.024959927424788475,0.9407775768535261
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,43,2632,2472.094482421875,0.0249917171895504,0.9407775768535261
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,44,2632,2471.47705078125,0.024908319115638733,0.9312839059674503
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,45,2632,2471.865234375,0.025110751390457153,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,46,2632,2470.76220703125,0.02504550851881504,0.945750452079566
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,47,2632,2472.102783203125,0.0248896274715662,0.9434900542495479
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,48,2632,2472.326416015625,0.02490069717168808,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,49,2632,2472.277099609375,0.024944161996245384,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,50,2632,2471.972900390625,0.024996478110551834,0.945750452079566
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,51,2632,2472.16552734375,0.02493244782090187,0.9480108499095841
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,52,2632,2472.162841796875,0.02493668720126152,0.9452983725135623
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,53,2632,2472.997314453125,0.02495489828288555,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,54,2632,2473.197998046875,0.02509401924908161,0.9421338155515371
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,55,2632,2472.3173828125,0.02501644380390644,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,56,2632,2472.125244140625,0.024729717522859573,0.9403254972875226
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,57,2632,2472.686767578125,0.024767626076936722,0.9480108499095841
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,58,2632,2471.42138671875,0.024883603677153587,0.9434900542495479
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,59,2632,2472.4326171875,0.024960923939943314,0.9462025316455696
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,60,2632,2470.74365234375,0.024806693196296692,0.9407775768535261
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,61,2632,2471.0078125,0.02493623085319996,0.9525316455696202
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,62,2632,2472.53662109375,0.02507449872791767,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,63,2632,2472.533935546875,0.024799877777695656,0.9358047016274864
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,64,2632,2472.711181640625,0.024816317483782768,0.9425858951175407
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,65,2632,2471.77685546875,0.024985890835523605,0.9480108499095841
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,66,2632,2472.25,0.02480408176779747,0.9425858951175407
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,67,2632,2471.5185546875,0.024895157665014267,0.9462025316455696
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,68,2632,2472.325927734375,0.02482215315103531,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,69,2632,2471.137939453125,0.024959085509181023,0.9452983725135623
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,70,2632,2473.266845703125,0.024785976856946945,0.9380650994575045
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,71,2632,2473.7021484375,0.025034993886947632,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,72,2632,2472.67822265625,0.02509557269513607,0.9385171790235081
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,73,2632,2471.642578125,0.024997258558869362,0.9412296564195298
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,74,2632,2471.498291015625,0.02508123591542244,0.9371609403254972
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,75,2632,2472.453857421875,0.024946482852101326,0.945750452079566
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,76,2632,2472.77978515625,0.025006629526615143,0.9471066907775768
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,77,2632,2472.663818359375,0.024980943650007248,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,78,2632,2472.17041015625,0.02522161230444908,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,79,2632,2472.26220703125,0.024965742602944374,0.9407775768535261
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,80,2632,2471.9033203125,0.0250411257147789,0.939873417721519
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,81,2632,2472.78173828125,0.025337805971503258,0.953887884267631
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,82,2632,2472.148681640625,0.024992337450385094,0.945750452079566
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,83,2632,2472.04345703125,0.0249137245118618,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,84,2632,2472.058349609375,0.02481723017990589,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,85,2632,2470.966064453125,0.02533412165939808,0.9552441229656419
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,86,2632,2472.4931640625,0.02501547709107399,0.945750452079566
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,87,2632,2471.358154296875,0.025012698024511337,0.9480108499095841
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,88,2632,2472.68359375,0.025036949664354324,0.951627486437613
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,89,2632,2472.251953125,0.024945612996816635,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,90,2632,2472.2744140625,0.02479024976491928,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,91,2632,2472.224365234375,0.02476157434284687,0.9380650994575045
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,92,2632,2472.20361328125,0.025033611804246902,0.9425858951175407
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,93,2632,2472.127197265625,0.025005629286170006,0.9556962025316456
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,94,2632,2471.34765625,0.02518589422106743,0.9416817359855334
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,95,2632,2472.186279296875,0.0250099990516901,0.9534358047016275
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,96,2632,2472.66015625,0.024945463985204697,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,97,2632,2472.650146484375,0.02493050880730152,0.9471066907775768
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,98,2632,2472.1943359375,0.025072025135159492,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.05,99,2632,2472.221923828125,0.0252438485622406,0.9480108499095841
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,0,2632,2507.732421875,0.018739180639386177,0.9520795660036167
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,1,2632,2507.04345703125,0.018802940845489502,0.939873417721519
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,2,2632,2507.040771484375,0.018771015107631683,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,3,2632,2507.16650390625,0.01873474195599556,0.9525316455696202
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,4,2632,2507.81884765625,0.01879565231502056,0.9525316455696202
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,5,2632,2507.1884765625,0.018748033791780472,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,6,2632,2506.060546875,0.01872573047876358,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,7,2632,2507.99560546875,0.018771206960082054,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,8,2632,2508.307373046875,0.018823742866516113,0.9425858951175407
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,9,2632,2507.84326171875,0.018790623173117638,0.951627486437613
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,10,2632,2506.93359375,0.018798766657710075,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,11,2632,2507.161376953125,0.01876634918153286,0.9448462929475587
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,12,2632,2507.603515625,0.018733562901616096,0.9502712477396021
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,13,2632,2508.375244140625,0.018788756802678108,0.9412296564195298
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,14,2632,2507.517333984375,0.018733525648713112,0.9520795660036167
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,15,2632,2507.09765625,0.018813611939549446,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,16,2632,2507.416015625,0.018825087696313858,0.9425858951175407
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,17,2632,2508.298095703125,0.018776437267661095,0.9471066907775768
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,18,2632,2506.859375,0.018755408003926277,0.9502712477396021
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,19,2632,2507.008544921875,0.018822576850652695,0.93625678119349
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,20,2632,2507.960205078125,0.01880459114909172,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,21,2632,2507.710693359375,0.01882687211036682,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,22,2632,2507.2685546875,0.018810061737895012,0.9439421338155515
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,23,2632,2508.87841796875,0.01881812885403633,0.9502712477396021
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,24,2632,2508.014892578125,0.01881619170308113,0.9462025316455696
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,25,2632,2506.846923828125,0.018784763291478157,0.953887884267631
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,26,2632,2507.222900390625,0.018733885139226913,0.93625678119349
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,27,2632,2507.514892578125,0.0187380313873291,0.9471066907775768
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,28,2632,2507.044921875,0.018756242468953133,0.93625678119349
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,29,2632,2506.96923828125,0.018770823255181313,0.9434900542495479
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,30,2632,2507.358642578125,0.01878640428185463,0.9412296564195298
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,31,2632,2507.2314453125,0.01879214122891426,0.951627486437613
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,32,2632,2506.954345703125,0.01886020600795746,0.9534358047016275
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,33,2632,2508.424560546875,0.018737273290753365,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,34,2632,2507.98779296875,0.018836237490177155,0.9597649186256781
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,35,2632,2506.936767578125,0.018792053684592247,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,36,2632,2508.970703125,0.018799180164933205,0.9547920433996383
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,37,2632,2506.94091796875,0.018787985667586327,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,38,2632,2507.2197265625,0.018812615424394608,0.9543399638336347
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,39,2632,2507.05615234375,0.018756696954369545,0.93625678119349
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,40,2632,2507.37841796875,0.018788840621709824,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,41,2632,2507.535400390625,0.018792152404785156,0.9593128390596745
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,42,2632,2508.047119140625,0.018809938803315163,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,43,2632,2507.7685546875,0.01878499612212181,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,44,2632,2507.259521484375,0.018744995817542076,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,45,2632,2507.427734375,0.018856756389141083,0.9421338155515371
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,46,2632,2506.237060546875,0.018769463524222374,0.9502712477396021
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,47,2632,2507.028564453125,0.0188160240650177,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,48,2632,2506.54248046875,0.018740152940154076,0.9624773960216998
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,49,2632,2507.521240234375,0.01873593032360077,0.9511754068716094
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,50,2632,2507.75146484375,0.018786685541272163,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,51,2632,2507.212646484375,0.018784957006573677,0.9570524412296564
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,52,2632,2507.88623046875,0.01878688670694828,0.9502712477396021
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,53,2632,2507.356201171875,0.018770907074213028,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,54,2632,2507.691650390625,0.018813127651810646,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,55,2632,2507.717041015625,0.018767448142170906,0.939873417721519
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,56,2632,2507.405029296875,0.01878405548632145,0.9394213381555153
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,57,2632,2507.216552734375,0.018769340589642525,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,58,2632,2507.926025390625,0.018780265003442764,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,59,2632,2508.00244140625,0.018807947635650635,0.9443942133815552
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,60,2632,2507.051513671875,0.018777957186102867,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,61,2632,2506.2021484375,0.018813788890838623,0.9434900542495479
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,62,2632,2508.17138671875,0.018780844286084175,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,63,2632,2507.12939453125,0.018741745501756668,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,64,2632,2508.275390625,0.01874946430325508,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,65,2632,2506.93505859375,0.018794186413288116,0.9529837251356238
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,66,2632,2507.911865234375,0.018745627254247665,0.9452983725135623
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,67,2632,2507.546142578125,0.018803350627422333,0.9520795660036167
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,68,2632,2507.53857421875,0.01877426728606224,0.9407775768535261
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,69,2632,2507.25,0.018801294267177582,0.9462025316455696
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,70,2632,2508.072509765625,0.018791981041431427,0.9462025316455696
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,71,2632,2509.02490234375,0.018787642940878868,0.9416817359855334
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,72,2632,2507.708984375,0.01879219524562359,0.9511754068716094
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,73,2632,2507.16552734375,0.018803799524903297,0.9547920433996383
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,74,2632,2506.5,0.018820658326148987,0.9511754068716094
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,75,2632,2507.040283203125,0.018771253526210785,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,76,2632,2507.537109375,0.0187921691685915,0.9552441229656419
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,77,2632,2508.632568359375,0.018828993663191795,0.9502712477396021
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,78,2632,2507.625244140625,0.018829457461833954,0.9556962025316456
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,79,2632,2507.822509765625,0.018779562786221504,0.9566003616636528
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,80,2632,2507.082275390625,0.018815884366631508,0.9498191681735986
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,81,2632,2508.18896484375,0.01880401372909546,0.9529837251356238
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,82,2632,2507.505126953125,0.0187557153403759,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,83,2632,2507.70263671875,0.018811816349625587,0.9452983725135623
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,84,2632,2508.0439453125,0.018768565729260445,0.9430379746835442
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,85,2632,2506.515869140625,0.018845530226826668,0.9525316455696202
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,86,2632,2507.64599609375,0.01885044388473034,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,87,2632,2506.4404296875,0.018767835572361946,0.9471066907775768
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,88,2632,2508.736572265625,0.01881871186196804,0.9520795660036167
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,89,2632,2508.102783203125,0.01877892017364502,0.9502712477396021
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,90,2632,2507.14697265625,0.01877148449420929,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,91,2632,2506.86181640625,0.018726235255599022,0.9462025316455696
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,92,2632,2508.04931640625,0.01882731169462204,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,93,2632,2507.203857421875,0.01882447674870491,0.9416817359855334
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,94,2632,2507.302001953125,0.018820907920598984,0.9556962025316456
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,95,2632,2506.990966796875,0.018767565488815308,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,96,2632,2508.082275390625,0.018772363662719727,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,97,2632,2509.1103515625,0.018794065341353416,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,98,2632,2507.02685546875,0.018760016188025475,0.9484629294755876
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.25,99,2632,2507.2919921875,0.01881730929017067,0.9430379746835442
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,0,2632,2547.48388671875,0.01766342669725418,0.9507233273056057
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,1,2632,2547.474365234375,0.017672099173069,0.9385171790235081
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,2,2632,2546.94482421875,0.017633600160479546,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,3,2632,2547.728271484375,0.017623774707317352,0.9466546112115732
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,4,2632,2547.46533203125,0.017671065405011177,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,5,2632,2547.552490234375,0.01763973943889141,0.9434900542495479
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,6,2632,2547.350341796875,0.017635652795433998,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,7,2632,2548.3662109375,0.01763678714632988,0.9489150090415913
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,8,2632,2548.167724609375,0.017675936222076416,0.9484629294755876
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,9,2632,2548.047119140625,0.01764892227947712,0.9421338155515371
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,10,2632,2546.39208984375,0.017658330500125885,0.9493670886075949
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,11,2632,2546.982421875,0.017622506245970726,0.9430379746835442
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,12,2632,2547.533935546875,0.017644012346863747,0.9471066907775768
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,13,2632,2548.478271484375,0.017656395211815834,0.939873417721519
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,14,2632,2547.328369140625,0.017604388296604156,0.9547920433996383
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,15,2632,2546.559326171875,0.017639169469475746,0.9502712477396021
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,16,2632,2547.48779296875,0.017662040889263153,0.9475587703435805
bbh+gpqa+ifeval+math+musr,None,1.0,0.275,0.5,17,2632,2547.4892578125,0.017632711678743362,0.95750452079566
